NO,大分類,大分類コード,小分類,小分類コード
1,国土・気象,01,国土,0101
1,国土・気象,01,気象,0102
2,人口・世帯,02,人口,0201
2,人口・世帯,02,世帯,0202
2,人口・世帯,02,人口動態,0203
2,人口・世帯,02,人口移動,0204
3,労働・賃金,03,労働力,0301
3,労働・賃金,03,賃金・労働条件,0302
3,労働・賃金,03,雇用,0303
3,労働・賃金,03,労使関係,0304
3,労働・賃金,03,労働災害,0305
4,農林水産業,04,農業,0401
4,農林水産業,04,畜産業,0402
4,農林水産業,04,林業,0403
4,農林水産業,04,水産業,0404
5,鉱工業,05,鉱業,0501
5,鉱工業,05,製造業,0502
6,商業・サービス業,06,商業,0601
6,商業・サービス業,06,需給流通,0602
6,商業・サービス業,06,サービス業,0603
7,企業・家計・経済,07,企業活動,0701
7,企業・家計・経済,07,金融・保険・通貨,0702
7,企業・家計・経済,07,物価,0703
7,企業・家計・経済,07,家計,0704
7,企業・家計・経済,07,国民経済計算,0705
7,企業・家計・経済,07,景気,0706
8,住宅・土地・建設,08,住宅・土地,0801
8,住宅・土地・建設,08,建設,0802
9,エネルギー・水,09,電気,0901
9,エネルギー・水,09,ガス,0902
9,エネルギー・水,09,エネルギー需給,0903
9,エネルギー・水,09,水,0904
10,運輸・観光,10,運輸,1001
10,運輸・観光,10,倉庫,1002
10,運輸・観光,10,観光,1003
11,情報通信・科学技術,11,情報通信・放送,1101
11,情報通信・科学技術,11,科学技術,1102
11,情報通信・科学技術,11,知的財産,1103
12,教育・文化・スポーツ・生活,12,学校教育,1201
12,教育・文化・スポーツ・生活,12,社会教育,1202
12,教育・文化・スポーツ・生活,12,文化・スポーツ・生活,1203
13,行財政,13,行政,1301
13,行財政,13,財政,1302
13,行財政,13,公務員,1303
13,行財政,13,選挙,1304
14,司法・安全・環境,14,司法,1401
14,司法・安全・環境,14,犯罪,1402
14,司法・安全・環境,14,災害,1403
14,司法・安全・環境,14,事故,1404
14,司法・安全・環境,14,環境,1405
15,社会保障・衛生,15,社会保障,1501
15,社会保障・衛生,15,社会保険,1502
15,社会保障・衛生,15,社会福祉,1503
15,社会保障・衛生,15,保険衛生,1504
15,社会保障・衛生,15,医療,1505
16,国際,16,貿易・国際収支,1601
16,国際,16,国際協力,1602
17,その他,99,その他,9999
